,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,ticker,url,error
213,466.28,466.71,400.00 x 800,476.79 x 800,465.20 - 477.01,375.50 - 527.06,"226,610","279,133",24.56B,1.24,27.25,17.495,2022-04-28 to 2022-05-02,6.48 (1.36%),"Feb 11, 2022",500.58,GWW,http://finance.yahoo.com/quote/GWW?p=GWW,
214,31.47,31.38,31.86 x 1300,32.49 x 1400,31.21 - 32.57,17.82 - 34.32,"13,496,019","11,376,803",29.118B,2.77,72.77,0.447,2022-04-19 to 2022-04-25,0.18 (0.71%),"Dec 08, 2021",29.67,HAL,http://finance.yahoo.com/quote/HAL?p=HAL,
215,93.18,93.00,95.84 x 1300,99.54 x 1100,93.00 - 96.78,85.97 - 105.73,"947,463","1,062,182",13.341B,1.02,29.50,3.278,2022-04-25 to 2022-04-29,2.72 (2.62%),"Jan 31, 2022",115.92,HAS,http://finance.yahoo.com/quote/HAS?p=HAS,
216,14.96,15.11,15.41 x 41800,15.64 x 40700,14.98 - 15.69,13.01 - 17.79,"16,646,001","12,322,391",22.959B,1.27,17.46,0.892,2022-04-20 to 2022-04-25,0.62 (4.14%),"Mar 17, 2022",17.78,HBAN,http://finance.yahoo.com/quote/HBAN?p=HBAN,
217,243.56,244.86,253.20 x 800,280.00 x 800,244.86 - 254.20,173.88 - 269.75,"1,130,201","1,532,766",78.779B,1.65,12.97,19.533,2022-04-20 to 2022-04-25,1.92 (0.74%),"Dec 13, 2021",288.48,HCA,http://finance.yahoo.com/quote/HCA?p=HCA,
218,313.24,313.18,316.22 x 900,316.99 x 900,307.57 - 317.44,246.59 - 420.61,"6,341,697","4,755,109",330.659B,0.99,21.17,14.955,2022-02-21 to 2022-02-25,6.60 (1.60%),"Dec 01, 2021",408.42,HD,http://finance.yahoo.com/quote/HD?p=HD,
219,95.26,95.45,97.52 x 800,98.40 x 800,94.40 - 97.60,61.93 - 97.60,"2,287,306","2,712,498",30.205B,2.00,154.06,0.633,2022-04-26 to 2022-05-02,1.00 (1.10%),"Dec 14, 2021",106.58,HES,http://finance.yahoo.com/quote/HES?p=HES,
220,67.48,67.96,69.40 x 800,70.71 x 800,67.66 - 70.89,50.63 - 78.17,"1,793,900","1,848,311",24.077B,1.07,11.77,6.009,2022-04-20 to 2022-04-25,1.54 (2.17%),"Nov 30, 2021",82.06,HIG,http://finance.yahoo.com/quote/HIG?p=HIG,
221,191.99,192.28,172.01 x 800,211.11 x 1800,192.28 - 202.91,175.50 - 224.13,"676,676","344,532",8.007B,0.98,11.99,16.668,2022-02-09 to 2022-02-14,4.72 (2.46%),"Feb 24, 2022",220.27,HII,http://finance.yahoo.com/quote/HII?p=HII,
222,146.09,147.00,150.18 x 900,151.00 x 800,145.01 - 150.68,114.70 - 160.96,"1,905,123","2,523,243",41.995B,1.23,"1,076.21",0.14,2022-02-15 to 2022-02-21,N/A (N/A),"Feb 27, 2020",148.32,HLT,http://finance.yahoo.com/quote/HLT?p=HLT,
